,Date,Ticker,GICS Sector,GICS Sub-Industry,Close,Volume,Indicator_type,Indicator_trend,Trend,1d_pred,3d_pred,5d_pred,10d_pred
90,2019-07-24,AEP,Utilities,Electric Utilities,89.61,2008400.0,Hammer,Bearish,True,89.08,89.73999786376953,87.80999755859375,89.73999786376953
91,2019-08-20,AEP,Utilities,Electric Utilities,90.77,1450400.0,Hammer,Bearish,False,91.35,89.58000183105469,90.66999816894531,93.05000305175781
92,2019-09-18,AEP,Utilities,Electric Utilities,93.02,2969500.0,Hammer,Bearish,False,93.18,93.4000015258789,94.2300033569336,92.12999725341797
93,2019-11-27,AEP,Utilities,Electric Utilities,91.59,1488900.0,Hammer,Bullish,False,91.35,90.87999725341797,92.45999908447266,91.13999938964844
94,2019-12-10,AEP,Utilities,Electric Utilities,91.94,1903400.0,Hammer,Bullish,True,92.15,92.05000305175781,93.22000122070312,93.83999633789062
95,2020-02-28,AEP,Utilities,Electric Utilities,89.26,6763800.0,Hammer,Bearish,True,95.09,99.81999969482422,97.69999694824219,86.47000122070312
96,2020-08-28,AEP,Utilities,Electric Utilities,78.35,2894300.0,Hammer,Bearish,True,78.83,80.30999755859375,79.05000305175781,80.33999633789062
97,2020-09-17,AEP,Utilities,Electric Utilities,80.04,1562700.0,Hammer,Bullish,False,78.78,79.8499984741211,80.48999786376953,83.05999755859375
98,2020-10-09,AEP,Utilities,Electric Utilities,89.82,2734600.0,Hammer,Bearish,False,90.48,89.33999633789062,91.5199966430664,91.87999725341797
99,2020-11-02,AEP,Utilities,Electric Utilities,91.23,3171400.0,Hammer,Bullish,True,90.89,90.70999908447266,90.26000213623047,89.20999908447266
100,2019-05-10,AMGN,Health Care,Biotechnology,171.85,2942300.0,Hammer,Bearish,False,167.6,169.8699951171875,169.91000366210938,171.27999877929688
101,2019-07-02,AMGN,Health Care,Biotechnology,186.64,1796300.0,Hammer,Bullish,False,188.58,182.24000549316406,182.27000427246094,177.05999755859375
102,2019-10-21,AMGN,Health Care,Biotechnology,202.93,1564000.0,Hammer,Bearish,True,204.83,203.05999755859375,205.00999450683594,214.41000366210938
103,2019-12-05,AMGN,Health Care,Biotechnology,233.41,2083600.0,Hammer,Bearish,False,233.77,233.83999633789062,235.99000549316406,241.83999633789062
104,2020-01-17,AMGN,Health Care,Biotechnology,241.49,2582800.0,Hammer,Bearish,True,237.6,235.0399932861328,222.9499969482422,216.8800048828125
105,2020-02-14,AMGN,Health Care,Biotechnology,223.48,1611900.0,Hammer,Bullish,True,221.69,222.13999938964844,217.8800048828125,212.1999969482422
106,2020-04-17,AMGN,Health Care,Biotechnology,234.97,2864200.0,Hammer,Bearish,False,236.6,229.2899932861328,236.27999877929688,230.97999572753906
107,2020-07-15,AMGN,Health Care,Biotechnology,253.31,1650100.0,Hammer,Bearish,False,255.2,260.95001220703125,256.9800109863281,248.85000610351562
